tempo, temperatura_interna, temperatura_externa, temperatura_referencia
2021-09-08 20:42:42, 29.438, 51.000, 31.618
2021-09-08 20:42:47, 29.500, 51.000, 31.617
2021-09-08 20:42:51, 29.562, 51.000, 31.617
2021-09-08 20:42:55, 29.500, 51.000, 31.617
2021-09-08 20:42:59, 29.625, 51.000, 31.617
2021-09-08 20:43:04, 29.812, 51.000, 31.616
2021-09-08 20:43:08, 29.875, 51.000, 31.615
2021-09-08 20:43:12, 30.125, 51.000, 31.615
2021-09-08 20:43:16, 30.312, 51.000, 31.614
2021-09-08 20:43:21, 30.438, 51.000, 31.613
2021-09-08 20:43:25, 30.688, 51.000, 31.612
2021-09-08 20:43:29, 30.812, 51.000, 31.612
2021-09-08 20:43:33, 31.125, 51.000, 31.611
2021-09-08 20:43:38, 31.438, 51.000, 31.610
2021-09-08 20:43:42, 31.625, 51.000, 31.610
2021-09-08 20:43:46, 31.938, 51.000, 31.609
2021-09-08 20:43:50, 32.250, 51.000, 31.609
2021-09-08 20:43:54, 32.438, 51.000, 31.609
2021-09-08 20:43:59, 32.750, 51.000, 31.609
2021-09-08 20:44:03, 33.125, 51.000, 31.608
2021-09-08 20:44:07, 33.312, 51.000, 31.608
2021-09-08 20:44:11, 33.688, 51.000, 31.607
2021-09-08 20:44:16, 34.000, 51.000, 31.607
2021-09-08 20:44:20, 34.188, 51.000, 31.606
2021-09-08 20:44:24, 34.500, 51.000, 31.606
2021-09-08 20:44:28, 34.875, 51.000, 31.606
2021-09-08 20:44:33, 35.000, 51.000, 31.606
2021-09-08 20:44:37, 35.438, 51.000, 31.605
2021-09-08 20:44:41, 35.750, 51.000, 31.605
2021-09-08 20:44:45, 35.938, 51.000, 31.605
2021-09-08 20:44:50, 36.250, 51.000, 31.605
2021-09-08 20:44:54, 36.625, 51.000, 31.605
2021-09-08 20:44:58, 36.812, 51.000, 31.606
2021-09-08 20:45:02, 37.125, 51.000, 31.606
2021-09-08 20:45:07, 37.438, 51.000, 31.606
2021-09-08 20:45:11, 37.688, 51.000, 31.607
2021-09-08 20:45:15, 38.000, 51.000, 31.607
2021-09-08 20:45:19, 38.375, 51.000, 31.607
2021-09-08 20:45:23, 38.562, 37.000, 31.608
2021-09-08 20:45:28, 38.875, 37.000, 31.608
2021-09-08 20:45:32, 39.250, 37.000, 31.608
2021-09-08 20:45:36, 39.375, 37.000, 31.609
2021-09-08 20:45:40, 39.750, 37.000, 31.609
2021-09-08 20:45:45, 40.000, 37.000, 31.610
2021-09-08 20:45:49, 40.188, 37.000, 31.610
2021-09-08 20:45:53, 40.562, 37.000, 31.611
2021-09-08 20:45:57, 40.750, 37.000, 31.611
2021-09-08 20:46:02, 41.062, 37.000, 31.612
2021-09-08 20:46:06, 41.375, 37.000, 31.613
2021-09-08 20:46:10, 41.500, 37.000, 31.613
2021-09-08 20:46:14, 41.812, 37.000, 31.614
2021-09-08 20:46:19, 42.188, 37.000, 31.614
2021-09-08 20:46:23, 42.312, 37.000, 31.615
2021-09-08 20:46:27, 42.500, 37.000, 31.616
2021-09-08 20:46:31, 42.500, 37.000, 31.617
2021-09-08 20:46:35, 42.500, 37.000, 31.618
2021-09-08 20:46:40, 42.375, 37.000, 31.618
2021-09-08 20:46:44, 42.375, 37.000, 31.619
2021-09-08 20:46:48, 42.250, 37.000, 31.619
2021-09-08 20:46:52, 42.125, 37.000, 31.619
2021-09-08 20:46:57, 41.938, 37.000, 31.619
2021-09-08 20:47:01, 41.938, 37.000, 31.619
2021-09-08 20:47:05, 41.750, 37.000, 31.620
2021-09-08 20:47:09, 41.562, 37.000, 31.620
2021-09-08 20:47:14, 41.500, 37.000, 31.621
2021-09-08 20:47:18, 41.312, 37.000, 31.621
2021-09-08 20:47:22, 41.062, 37.000, 31.622
2021-09-08 20:47:26, 41.000, 37.000, 31.623
2021-09-08 20:47:31, 40.750, 37.000, 31.623
2021-09-08 20:47:35, 40.625, 37.000, 31.624
2021-09-08 20:47:39, 40.438, 37.000, 31.625
2021-09-08 20:47:43, 40.312, 37.000, 31.625
2021-09-08 20:47:48, 40.062, 37.000, 31.626
2021-09-08 20:47:52, 40.000, 37.000, 31.626
2021-09-08 20:47:56, 39.750, 37.000, 31.626
2021-09-08 20:48:00, 39.562, 37.000, 31.627
2021-09-08 20:48:04, 39.438, 37.000, 31.627
2021-09-08 20:48:09, 39.250, 37.000, 31.627
2021-09-08 20:48:13, 39.062, 37.000, 31.626
2021-09-08 20:48:17, 38.938, 37.000, 31.626
2021-09-08 20:48:21, 38.750, 37.000, 31.625
2021-09-08 20:48:26, 38.688, 37.000, 31.626
2021-09-08 20:48:30, 38.438, 37.000, 31.626
2021-09-08 20:48:34, 38.312, 37.000, 31.627
2021-09-08 20:48:38, 38.188, 37.000, 31.628
2021-09-08 20:48:43, 38.000, 37.000, 31.628
2021-09-08 20:48:47, 37.812, 37.000, 31.629
2021-09-08 20:48:51, 37.750, 37.000, 31.630
2021-09-08 20:48:59, 37.500, 37.000, 31.631
2021-09-08 20:49:06, 37.188, 37.000, 31.632
2021-09-08 20:49:11, 37.062, 37.000, 31.633
2021-09-08 20:49:15, 36.938, 37.000, 31.635
2021-09-08 20:49:19, 36.812, 37.000, 31.636
2021-09-08 20:49:23, 36.688, 37.000, 31.637
2021-09-08 20:49:28, 36.500, 37.000, 31.638
2021-09-08 20:49:32, 36.438, 37.000, 31.639
2021-09-08 20:49:38, 36.188, 37.000, 31.639
2021-09-08 20:49:43, 36.000, 37.000, 31.639
2021-09-08 20:49:47, 35.938, 37.000, 31.639
2021-09-08 20:49:51, 35.750, 37.000, 31.639
2021-09-08 20:49:55, 35.625, 37.000, 31.639
2021-09-08 20:50:00, 35.562, 37.000, 31.638
2021-09-08 20:50:04, 35.375, 37.000, 31.638
2021-09-08 20:50:08, 35.250, 37.000, 31.637
2021-09-08 20:50:12, 35.188, 37.000, 31.636
2021-09-08 20:50:17, 35.062, 37.000, 31.636
2021-09-08 20:50:21, 34.938, 37.000, 31.635
2021-09-08 20:50:25, 34.875, 37.000, 31.635
2021-09-08 20:50:29, 34.750, 37.000, 31.634
2021-09-08 20:50:33, 34.688, 37.000, 31.634
2021-09-08 20:50:38, 34.562, 46.000, 31.633
2021-09-08 20:50:42, 34.438, 46.000, 31.633
2021-09-08 20:50:46, 34.375, 46.000, 31.633
2021-09-08 20:50:50, 34.500, 46.000, 31.633
2021-09-08 20:50:55, 34.625, 46.000, 31.633
2021-09-08 20:50:59, 34.688, 46.000, 31.634
2021-09-08 20:51:03, 34.875, 46.000, 31.634
2021-09-08 20:51:07, 35.062, 46.000, 31.635
2021-09-08 20:51:12, 35.188, 46.000, 31.635
2021-09-08 20:51:16, 35.375, 46.000, 31.636
2021-09-08 20:51:20, 35.688, 46.000, 31.636
2021-09-08 20:51:24, 35.812, 46.000, 31.637
2021-09-08 20:51:29, 36.062, 46.000, 31.637
2021-09-08 20:51:33, 36.375, 46.000, 31.638
